speed,direction,direction_disp,x,y
34.991,173.59,211.4,298.99,165.2
35.474,177.81,216.11,297.2,166.3
33.968,181.06,219.17,295.48,167.55
34.492,183.96,221.56,293.9,168.84
35.074,184.61,223.87,292.35,170.21
32.637,183.44,223.36,290.83,171.67
34.733,181.67,224.99,289.41,173.02
35.883,180.06,237.6,287.94,174.49
36.179,178.92,244.68,286.78,176.31
41.556,178.19,243.74,285.85,178.27
41.545,178.24,245.85,284.75,180.51
43.877,178.02,248.15,283.73,182.78
45.86,178.16,250.57,282.75,185.22
49.394,178.83,249.31,281.84,187.82
50.761,179.18,246.95,280.79,190.59
50.809,178.83,246.7,279.6,193.39
50.022,178.87,246.13,278.39,196.19
52.267,178.23,246.51,277.18,198.94
51.558,177.39,245.42,275.93,201.81
47.723,176.99,244.12,274.64,204.63
45.992,176.15,241.89,273.39,207.2
44.164,175.59,237.84,272.09,209.64
46.87,174.47,237.06,270.68,211.88
46.227,173.1,234.67,269.15,214.24
47.798,171.4,234.56,267.55,216.5
46.728,169.15,233.08,265.88,218.84
45.648,166.2,227.29,264.2,221.08
49.384,162.99,219.28,262.34,223.09
54.108,159.96,211.96,260.05,224.97
56.22,157.42,207.29,257.29,226.69
58.851,155.01,204.89,254.3,228.24
55.746,153.12,203.89,251.09,229.72
53.35,151.3,203.08,248.03,231.08
49.149,149.27,201.59,245.09,232.33
49.88,147.36,204.74,242.35,233.42
49.996,145.82,202.26,239.63,234.67
51.26,144.05,201.9,236.85,235.8
51.687,142.12,197.83,234,236.95
51.75,139.76,197.25,231.05,237.9
51.793,137.15,195.16,228.08,238.82
53.289,134.11,192.59,225.08,239.63
52.157,130.76,193.61,221.96,240.33
52.375,128.03,191.84,218.92,241.07
53.869,125.65,188.5,215.84,241.71
55.099,123.21,182.78,212.65,242.19
56.347,121.19,182.7,209.35,242.35
56.034,119.42,182.01,205.97,242.51
55.023,117.92,178.05,202.61,242.63
54.206,116.19,173.05,199.31,242.51
53.727,114.12,166.64,196.08,242.12
54.299,112.06,164.83,192.94,241.38
56.092,110.15,161.01,189.8,240.52
56.679,107.97,159.36,186.62,239.43
57.931,105.75,161,183.43,238.23
57.115,103.61,156.07,180.15,237.1
55.139,101.33,156.26,177.02,235.71
52.585,99.041,154.03,173.99,234.38
45.46,97.03,156.16,171.15,232.99
40.519,95.553,156.19,168.66,231.89
36.06,94.389,157.93,166.43,230.91
31.204,93.885,155.16,164.43,230.1
27.947,93.723,152.33,162.73,229.31
28.818,93.576,135.67,161.24,228.53
27.848,93.87,124.44,160.01,227.32
22.583,94.351,119.95,159.06,225.95
22.773,94.629,111.53,158.38,224.77
23.227,94.876,107.71,157.88,223.5
21.615,95.401,104.82,157.46,222.17
15.376,96.182,102.28,157.13,220.92
9.6945,97.064,100.98,156.93,220.02
7.131,98.053,79.747,156.82,219.45
6.3344,98.717,38.563,156.9,219.03
7.0367,99.418,0.53934,157.19,218.79
9.3024,100.15,354.04,157.62,218.79
12.157,100.72,340.62,158.17,218.84
13.218,100.99,348.13,158.86,219.09
13.59,101.56,350.9,159.64,219.25
11.698,102.11,17.695,160.44,219.38
12.449,102.67,38.615,161.11,219.16
11.792,102.88,43.517,161.69,218.7
9.8771,102.89,54.859,162.21,218.21
8.8014,102.98,69.651,162.55,217.73
4.4953,103.15,65.213,162.73,217.23
1.0889,103.32,49.935,162.84,216.99
1.1062,103.5,186.88,162.89,216.94
1.6263,103.91,227.52,162.82,216.94
2.9879,104.31,276.74,162.75,217.02
3.9897,104.37,282.06,162.77,217.19
4.1965,104.27,283.13,162.82,217.43
6.0109,104.13,285,162.88,217.67
5.095,103.77,293.43,162.98,218.02
4.6405,103.35,291.26,163.1,218.3
3.6199,103.01,309.57,163.2,218.56
3.2687,102.54,328.82,163.34,218.73
2.0158,101.98,347.89,163.5,218.83
2.483,101.97,319.68,163.62,218.86
1.1896,101.09,22.239,163.74,218.95
1.1066,100.05,326.66,163.8,218.93
0.20634,98.097,238.12,163.86,218.96
6.4655,97.36,236.85,163.85,218.97
10.683,95.202,240.43,163.64,219.3
16.648,88.46,223.49,163.32,219.86
21.901,80.407,211.02,162.6,220.54
19.491,65.225,198.74,161.47,221.22
16.12,16.699,162.63,160.36,221.6
16.636,343.07,135.32,159.44,221.31
15.996,330.72,113.19,158.73,220.61
18.724,328.73,88.065,158.35,219.72
20.405,326.96,86.328,158.39,218.6
23.368,327.93,74.29,158.47,217.38
24.126,332.19,67.027,158.85,216.03
25.891,338.53,53.551,159.41,214.7
28.177,344.84,42.951,160.34,213.45
28.883,350.66,32.636,161.57,212.29
27.695,354.54,27.048,163.03,211.36
28.354,357.81,27.164,164.51,210.6
28.769,0.49392,23.568,166.03,209.83
29.132,359.23,22.474,167.61,209.14
29.506,354.91,21.407,169.22,208.47
35.191,348.47,32.066,170.87,207.82
39.752,344.18,35.429,172.66,206.7
47.35,341.67,35.1,174.61,205.32
51.239,339.95,29.252,176.93,203.69
48.323,339.72,24.296,179.61,202.18
41.698,338.56,13.061,182.26,200.99
36.724,337.55,5.0605,184.69,200.43
31.066,336.39,358.25,186.89,200.23
24.624,334.6,350.04,188.75,200.29
24.05,333.06,345.9,190.21,200.54
19.196,331.88,346.53,191.6,200.89
15.573,330.87,344.09,192.72,201.16
9.1896,330.22,344.87,193.62,201.42
2.47,329.67,127.83,194.16,201.56
2.0288,329.3,96.167,194.06,201.45
4.4454,329.37,94.521,194.05,201.33
4.5647,329.75,109.64,194.03,201.06
9.6256,330.02,132.79,193.94,200.8
5.2034,330.16,109.95,193.55,200.38
4.1131,330.36,111.9,193.44,200.08
3.8557,330.54,123.88,193.35,199.86
9.8896,330.32,126.18,193.22,199.66
4.3174,329.94,99.975,192.87,199.18
6.7665,329.26,78.044,192.82,198.93
6.487,328.45,71.088,192.91,198.53
6.3989,327.46,53.911,193.03,198.16
7.1334,326.3,59.348,193.26,197.85
8.0111,325.18,48.547,193.48,197.49
5.5411,323.9,30.907,193.8,197.12
5.3954,322.46,34.055,194.08,196.95
4.2109,321.09,11.949,194.35,196.77
4.6131,319.71,356.12,194.6,196.72
4.619,318.49,4.8301,194.87,196.74
10.801,317.13,345.14,195.15,196.72
2.3231,316.41,20.196,195.78,196.88
4.0146,315.25,108.79,195.91,196.83
1.4683,314.09,339.83,195.83,196.61
10.251,313.23,323.17,195.91,196.64
3.8087,313.03,327.18,196.4,197
5.7385,312.49,314.67,196.6,197.13
7.8265,312.02,318.19,196.84,197.37
15.585,312.22,308.27,197.19,197.69
9.2785,313.23,294.29,197.77,198.42
9.9062,314.44,275.59,198,198.93
9.8642,316.07,259.63,198.05,199.52
7.4426,318.16,227.79,197.95,200.1
9.2716,320.56,206,197.65,200.43
